product,brand,form_declared,other_actives_per_daily_dose,elemental_mg_per_daily_dose,daily_dose,elemental_mg_per_unit,ingredients_verbatim,ingredient_count,pack_size,pack_unit,price_dkk,price_note,price_per_100mg_elemental_dkk,public_batch_documentation,trademark_raw_material,stock_status_2026-09-25,source_url_primary,source_url_secondary,source_type,notes
Apovit Magnesium 230 mg,Apovit (Stada Nordic),magnesiumhydroxid,,230,1 depottablet,230,"Magnesiumhydroxid, fyldemidler (hydroxypropylmethylcellulose, mikrokrystallinsk cellulose), maltodextrin, antiklumpningsmidler (siliciumdioxid, magnesiumsalte af fedtsyrer)",6,200,depottabletter,144.5,Webapoteket; apovit.dk oplyser ikke pris,0.31,ikke oplyst,,,https://www.apovit.dk/produkter/magnesium-230-mg-200-depottabletter/,https://www.webapoteket.dk/apovit-magnesium-depot-230-mg-200-stk,producent + forhandler,Webapoteket angiver magnesiumoxid; producenten angiver magnesiumhydroxid. Datasættet følger producenten.
Copenhagen Health Triple Organic Magnesium,Copenhagen Health,"magnesiumsalte af citronsyre, magnesiumbisglycinat, magnesiumtaurat",,200,1-2 tabletter,200,"Magnesiumsalte af citronsyre, magnesiumbisglycinat, magnesiumtaurat, overfladebehandlingsmiddel (Hydroxypropylmethylcellulose), maltodextrin, fyldemiddel (Calciumphosphater), overfladebehandlingsmiddel (Natriumcarboxymethylcellulose, calciumcarbonat, magnesiumsalte af fedtsyrer, talkum), antiklumpningsmiddel (Siliciumdioxid), overfladebehandlingsmiddel (Polyethylenglycol)",12,240,tabletter,99.0,"tilbudspris; foerpris 269,00 kr",0.21,ikke oplyst,,Matas: udsolgt online,https://copenhagenhealth.dk/products/triple-organic-magnesium,https://www.matas.dk/copenhagen-health-organic-triple-magnesium,producent + forhandler,"Producentsiden oplyser forlaenget holdbarhed (best before 31.12.2026). Pris pr. 100 mg ved 269 kr: 0,56."
Core Magnesium Pro,Core Nutrition,"magnesiumcitrat, magnesiumbisglycinat",,350,2 tabletter,175,"mineral (magnesiumcitrat), fyldstoffer (mikrokrystallinsk cellulose), mineral (magnesiumbisglycinat), antiklumpningsmiddel (fedtsyrer, magnesiumsalte af fedtsyrer)",5,120,tabletter,149.0,,0.71,ikke oplyst,,,https://www.corenutrition.dk/core-magnesium-pro,,producent,Naeringsindhold hentet fra sidens egen AJAX-fane.
Greatlife Magnesiumglycinat,Greatlife,magnesiumglycinat,,200,2 kapsler,100,magnesiumglycinat; vegetabilsk kapsel (hydroxypropylmethylcellulose),2,60,kapsler,149.0,tilbudspris; vejl. 169 kr,2.48,ikke oplyst,,udsolgt 25/9,https://www.greatlife.dk/magnesiumglycinat-greatlife,,producent,"Ingen samlet ingrediensliste paa siden; talt ud fra naeringstabel + oevrige ingredienser. EAN 7350131871271. Pris pr. 100 mg ved 169 kr: 2,82."
Healthwell Magnesium Bisglycinat,Healthwell,magnesiumbisglycinat,,97.5,1-2 kapsler,97.5,"mineral (magnesiumbisglycinat), vegetabilsk kapsel (hydroxypropylmethylcellulose), aminosyre (leucin)",3,90,kapsler,139.0,,1.58,ikke oplyst,,,https://www.healthwell.dk/healthwell-magnesium-bisglycinat,,producent,195 mg ved 2 kapsler.
Healthwell Trippel Magnesium,Healthwell,"buffered magnesiummalat, buffered magnesiumbisglycinat, buffered magnesiumtaurat",,220,1 kapsel,220,"mineraler (buffered magnesiummalat, buffered magnesiumbisglycinat), kapsel (hypromellose), mineral (buffered magnesiumtaurat), antiklumpningsmiddel (magnesiumsalte af fedtsyrer)",5,90,kapsler,149.0,,0.75,ikke oplyst,,,https://www.healthwell.dk/trippel-magnesium,,producent,
Natures Own Magnesium Bisglycinat,Natures Own (Panacea ApS),magnesium bisglycinat,,120,1-2 kapsler,120,"Magnesium (magnesium bisglycinat), vegetabilske kapsel: hydroxypropylmethylcellulose",2,120,kapsler,238.95,"tilbudspris; foerpris 299,95 kr",1.66,ikke oplyst,,restordre 25/9,https://helsam.dk/products/magnesium-bisglycinat-1,,forhandler,"Helsam tager forbehold for afvigelser fra fysisk etiket. Pris pr. 100 mg ved 299,95 kr: 2,08."
New Nordic Magnesium Glycinate,New Nordic,magnesiumbisglycinat,lang peber-ekstrakt (Piper longum) 12 mg,233,2 tabletter,116.5,"Fyldemidler (mikrokrystallinsk cellulose, tvaerbunden natriumcarboxymethylcellulose), magnesiumbisglycinat, overfladebehandlingsmidler (magnesiumsalte af vegetabilske fedtsyrer, hydroxypropylmethyl cellulose, glycerol), antiklumpningsmiddel (siliciumdioxid), lang peber ekstrakt (Piper longum L.)",8,120,tabletter,236.0,abonnement 177 kr,1.69,ikke oplyst,,,https://newnordic.dk/magnesium-glycinate/,https://www.webapoteket.dk/new-nordic-magnesium-glycinat-120-stk,producent + forhandler,Pakkestoerrelse 120 fra Webapoteket; newnordic.dk oplyser '2 maaneders forbrug'.
Nuro Magnesium Bisglycinat,Nuro (Nuro.nu ApS),magnesium bisglycinat,,150,3 kapsler,50,"magnesium bisglycinat (Albion TRAACS), HPMC-kapselskal, riskoncentrat, risstivelse",4,120,kapsler,299.0,Founding 199 kr pr. levering,4.98,raavare-COA pr. batch offentlig; faerdigvareanalyse afventes,Albion TRAACS,endnu ikke til salg,https://nuro.nu/products/nuro-magnesium-glycinate,https://nuro.nu/pages/dokumentation,producent,"Udgiver af datasaettet. Pris pr. 100 mg ved Founding 199 kr: 3,32."
Puori M3,Puori,"magnesiumtaurat, magnesiumgluconat",zink (picolinat) 8 mg; vitamin B6 (pyridoxal-5'-fosfat) 4 mg,225,3 kapsler,75,"Mineraler (magnesium taurat, magnesium gluconat, zink picolinat), fyldemiddel (inulin, vegetabilske magnesiumsalte af fedtsyrer), vegetabilsk kapsel (HPMC), aeblesyre, vitamin B6 (pyridoxal-5'-fosfat)",8,120,kapsler,249.0,180 kapsler: 319 kr,2.77,"Clean Label Project: tredjepartstest af faerdigvare pr. batch, COA offentlig",,,https://puori.dk/products/m3-high-quality-organic-magnesium-in-vegan-capsule,https://www.med24.dk/kosttilskud/mineraler/magnesium/puori-m3-magnesium-og-zink-120-kaps,producent + forhandler,Elementaert Mg pr. dagsdosis fra Med24s naeringsdeklaration; puori.dk angiver ikke mg i tekst 25/9 2026. Batchtest: https://cleanlabelproject.org/transparency-project-puori/m3-magnesium/
Solaray Magnesium Citrat,Solaray,magnesiumcitrat,,250,2 kapsler,125,"Magnesium Citrat, Hydroxypropylmethylcellulose fra planter (Veg. kapsel), Magnesiumsalte af fedtsyrer fra baeredygtig palmeolie (Konsistensmiddel), Cellulose, Alfalfa urt (Medicago sativa L.), Maelkeboetterod (Taraxacum officinale), Persille urt (Petroselinum crispum), Broccoli (Brassica oleracea L.)",8,270,kapsler,234.95,"tilbudspris; foerpris 329,95 kr",0.7,ikke oplyst,,,https://well.dk/solaray-magnesium-citrat-270-kaps,https://helsegrossisten.dk/solaray-magnesium-citrat-180-kapsler,forhandler,Well.dk tager forbehold for afvigelser fra fysisk etiket. Dosis paa Well.dk er internt uens (2 vs. 3 kapsler); tabellen bruger naeringstabellens 2 kapsler.
Star Nutrition Ultimate Magnesium,Star Nutrition,"magnesiumcitrat, magnesium bisglycinat",,235,2 kapsler,117.5,"Magnesium (magnesiumcitrat, magnesium bisglycinat), kapsel (bovint gelatin), smoeremiddel (veg. magnesiumsalte af fedtsyrer)",4,90,kapsler,69.0,tilbudspris; ord. pris 99 kr,0.65,ikke oplyst,,ikke paa lager 25/9,https://www.bodystore.dk/ultimate-magnesium-90-kapsler/6577.html,,forhandler,"Gelatinekapsel (ikke vegansk). Pris pr. 100 mg ved 99 kr: 0,94."
WeightWorld Magnesiumglycinat 1422 mg,WeightWorld,magnesiumbisglycinat,vitamin B6 (pyridoxinhydrochlorid) 2 mg,200,2 kapsler,100,magnesiumbisglycinat; B6-vitamin (pyridoxinhydrochlorid); kapselskal: hypromellose (HPMC),3,180,kapsler,185.0,,1.03,tredjepartstest-widget paa produktsiden (Defacto Labs),,,https://www.weightworld.dk/products/magnesium-glycinate-1422mg,,producent,Ingen samlet ingrediensliste paa siden; talt ud fra naeringstabel + andre ingredienser.
