retailer,brand,product,price_dkk_normal,form_from_name,form_verified_detail,elemental_mg_per_dose,notes
Matas,Solaray,Solaray Magnesium Glycinate 120 kaps,249.95,bisglycinat,,,pris 191.95->249.95
Matas,Matas,Matas Striber Magnesium 200 mg 300 tabl.,139.95,uspecificeret,ikke_oplyst,200,
Matas,Solaray,Solaray Magnesium Glycinate 240 stk,319.95,bisglycinat,,,ny/uverificeret Q3
Matas,Solaray,Solaray Mega B-Stress 120 kaps.,174.95,uspecificeret,,,kombi/ekskl: B-vitamin
Matas,Puori,Puori Magnesium Kompleks 180 stk,319.95,kompleks,,,pris 239.96->319.95
Matas,Solaray,Solaray Magnesium Citrat 270 kaps,255.95,citrat,,,pris 319.95->255.95
Matas,Mablet,Mablet Depottablet 60 stk.,72.95,uspecificeret,,,ekskl: laegemiddel/depottablet
Matas,Solaray,Solaray Cal-Mag Citrat med vitamin D og K2 240 kaps.,424.95,citrat,,,kombi/ekskl: calcium
Matas,Greenish,"Greenish Epsom Salt 1500 g 1,5 kg",94.95,uspecificeret,,,kombi/ekskl: epsom badesalt (topisk)
Matas,Matas,Matas Striber Magnesium Citrat 100 tabl.,124.95,citrat,,,
Matas,Pharma Nord,Pharma Nord Bio-Magnesium 200 mg 120 kaps.,189.95,uspecificeret,oxid+carbonat+hydroxid,200,
Matas,Solaray,Solaray Cal-Mag med D-vitamin 270 kaps.,279.95,uspecificeret,,,kombi/ekskl: calcium
Matas,Solaray,Solaray Magnesium Citrat 250 mg 180 kaps.,269.95,citrat,,,pris 259.95->269.95
Matas,Biosym,Biosym Magnesium+300 Soevn 60 stk,224.95,uspecificeret,bisglycinat+marin,,
Matas,Biosym,Biosym Magnesium+300 250 kaps,414.95,uspecificeret,oxid,,
Matas,Biosym,Biosym Magnesium+300 160 kaps,204.95,uspecificeret,oxid,,
Matas,New Nordic,New Nordic Magic Magnesium Glycinat 60 tabl.,209.95,bisglycinat,,,pris 199.95->209.95
Matas,Solaray,Solaray Magnesium Citrat 250 mg 90 kaps.,124.95,citrat,,,
Matas,VitaYummy,VitaYummy Magnesium 60 stk.,159.95,uspecificeret,citrat,,
Matas,Puori,Puori Magnesium Kompleks 120 stk,249.95,kompleks,,,pris 187.46->249.95
Matas,Greenish,Greenish Epsom Salt 500 g,59.95,uspecificeret,,,kombi/ekskl: epsom badesalt (topisk)
Matas,New Nordic,New Nordic Magnesium Malate 180 stk.,299.95,malat,,,
Matas,Salus,Salus Magnesium 500 ml,299.95,uspecificeret,ikke_oplyst,219,
Matas,Solaray,Solaray Magnesium Malate 90 tabl,249.95,malat,,,pris 191.95->249.95
Matas,4 HIM & HER,4 HIM & HER Magnesium Glycinate Complex 90 stk.,199.95,bisglycinat,,,
Matas,New Nordic,New Nordic Magnesium malate 270 kaps.,339.95,malat,,,
Matas,Nordbo,Nordbo Pure Magnesium 90 kaps.,204.95,uspecificeret,bisglycinat,150,
Matas,New Nordic,New Nordic Magic Magnesium Malate 60 tabl.,209.95,malat,,,pris 199.95->209.95
Matas,Solgar,Solgar Magnesium Vitamin B6 100 tabl.,94.95,uspecificeret,,,kombi/ekskl: B6
Matas,Greenish,Greenish Epsom Salt 225 g,36.95,uspecificeret,,,kombi/ekskl: epsom badesalt (topisk)
Matas,Solaray,Solaray Magtein Magnesium L-threonate 60 stk,659.95,threonat,,,pris 649.95->659.95
Matas,Berthelsen,Berthelsen Vegansk Magnesium 90 stk.,199.95,uspecificeret,,,ny/uverificeret Q3
Matas,Solaray,Solaray Magnesium Citrate 225 g,329.95,citrat,,,
Matas,Pharma Nord,Pharma Nord Bio-Magnesium 200 mg 60 tabl.,109.95,uspecificeret,oxid+carbonat+hydroxid,200,
