retailer,brand,product,price_dkk_normal,form_from_name,form_verified_detail,elemental_mg_per_dose,notes
  Matas,Solaray,Solaray Magnesium Glycinate 120 kaps,191.95,bisglycinat,,,
  Matas,Matas,Matas Striber Magnesium 200 mg 300 tabl.,139.95,uspecificeret,ikke_oplyst,200,form ej oplyst paa produktside
Matas,Puori,Puori Magnesium Kompleks 180 stk,239.96,kompleks,,,flere former
Matas,Solaray,Solaray Magnesium Citrat 270 kaps,319.95,citrat,,,
  Matas,Matas,Matas Striber Magnesium Citrat 100 tabl.,124.95,citrat,,,
  Matas,Solaray,Solaray Magnesium Citrat 250 mg 180 kaps.,259.95,citrat,,,
  Matas,Biosym,Biosym Magnesium+300 Soevn 60 stk,224.95,uspecificeret,bisglycinat+marin,,soevn-variant verificeret
Matas,Biosym,Biosym Magnesium+300 160 kaps,204.95,uspecificeret,oxid,,oxid bekraeftet paa produktside
Matas,New Nordic,New Nordic Magic Magnesium Glycinat 60 tabl.,199.95,bisglycinat,,,
  Matas,Pharma Nord,Pharma Nord Bio-Magnesium 200 mg 120 kaps.,189.95,uspecificeret,oxid+carbonat+hydroxid,200,bekraeftet paa produktside
Matas,VitaYummy,VitaYummy Magnesium 60 stk.,159.95,uspecificeret,citrat,,gummies citrat bekraeftet
Matas,Pikasol,Pikasol Omega-3 og Magnesium 120 stk,180.95,uspecificeret,,,EKSKLUDER omega-3-kombi
  Matas,Solaray,Solaray Magtein Magnesium L-threonate 60 stk,649.95,threonat,,,dyreste i kategori
Matas,Nordbo,Nordbo Pure Magnesium 90 kaps.,204.95,uspecificeret,bisglycinat,150,TRANSPARENS angiver elementaer eksplicit
Matas,Nordbo,Nordbo Good Night Magnesium 90 kaps.,299.95,uspecificeret,bisglycinat,,verificeret
  Matas,Salus,Salus Magnesium 500 ml,299.95,uspecificeret,ikke_oplyst,219,flydende
  Matas,New Nordic,New Nordic Magnesium Malate 180 stk.,299.95,malat,,,
  Matas,Puori,Puori Magnesium Kompleks 120 stk,187.46,kompleks,,,
  Matas,Mezina,Mezina Magnesium Citrat 180 stk,129.95,citrat,,,
  Matas,Biosym,Biosym Magnesium+300 250 kaps,414.95,uspecificeret,oxid,,samme produktlinje som +300 160
  Matas,Berthelsen,Berthelsen Vegansk Magnesium 240 stk.,364.95,uspecificeret,bisglycinat+oxid,375,mix hoej dosis
